full_plus_code,mean
588M3P66+2H26,0.42777749827506906
588M2MX8+HHG8,3.621419992609016
588M2JQM+96QX,2.879069828308208
588M2MP6+H4M2,9.02463756443299
588M3J6C+GFQW,1.2688071148825066
588M3J6J+5GV5,6.002475792253521
588M3J4J+HPX4,4.86821641899767
588M3J7G+H86C,5.536686964668095
588M2JVH+R5M2,3.9420642921146953
588M3M6G+J6M6,2.90594692887931
588M2MW7+PGPF,5.34201222640219
588M2JWW+QXV7,5.835750374251497
588M2MMM+C7C7,6.087372573606046
588M3P34+PWQW,6.66309600515464
588M2MGQ+FFWP,3.72129081306018
588M2MRG+M59Q,2.218886612021858
588M3M4G+4WPQ,7.39160768728223
588M3M6M+Q6P5,2.8995015681003586
588M2MR4+25GW,10.57056794959128
588M3M99+5PQ4,9.784347747093024
588M3M84+9CV6,5.231517139551874
588M3J6F+W6FR,4.51575
588M3JMV+38MQ,0.0
588M2MJF+G47C,8.162799054154306
588M2MFP+2CW6,7.119840342679128
588M2MJW+4QW9,7.2060381355932215
588M3P86+6H9J,5.149339758831522
588M3J6C+3QMG,7.664753401360544
588M3M6H+W9GP,7.196949304620905
588M3M36+XWW2,5.888133383010433
588M2MWQ+72H6,0.30515625
588M3P67+96XR,5.0924631160830085
588M2MM4+RHV5,59.9272363612212
588M3M2C+PCWW,6.565344923294307
588M3M63+VV5G,4.4054931640625
588M2PV7+XC27,0.30131250000000004
588M3P76+XWJ2,7.834506034179
588M2PW2+G48F,6.480004019292604
588M2M9X+H274,5.640515988372093
588M3P66+CF63,6.216208584337347
588M2P82+P7WW,5.65657186329588
588M2MPR+XGHQ,0.7552214195979899
588M3M55+GMW2,5.045170454545454
588M3P22+X2XQ,4.3087587344720495
588M3M53+4XXV,0.0
588M3P32+WRVW,3.5779225419207323
588M2JVH+H37Q,3.8155145434462447
588M2MJ9+6G6P,35.20502575719961
588M2P95+3839,31.716310476098702
588M3JFQ+5W74,15.800186621779861
588M2MX2+MVV3,5.929057591623036
588M3M25+C853,7.3828125
588M3J4G+Q7XM,5.0366916816009555
588M2MX4+Q4MM,0.3079176682692307
588M3J9F+VJXG,0.0
588M3M54+62GF,3.0695062277580067
588M2MXC+J572,1.8372346698113204
588M3M56+W3WQ,4.337370069296376
588M3J3W+Q26V,4.9172186036299745
588M3M6H+682C,5.083512931034483
588M3P66+M8FM,5.547180043383948
588M2MX3+H9M7,5.7463929521276595
588M2MX3+86VQ,6.176223843612335
588M3J9P+X5FH,5.595463288019123
588M3P46+PJJ2,5.37423076923077
588M2MJR+2FRG,7.148416922739245
588M3J9P+V9QR,6.230387899172087
588M2MP3+H86H,22.95649927042802
588M3J9Q+VM24,9.093282860824742
588M2MVC+5PV9,16.283485127005346
588M2M8V+34J3,14.88871815451533
588M2MPQ+6RJP,1.5037949775112445
588M3J8X+FWJ2,5.8215739678899086
588M3M84+4CFP,7.354870775347914
588M2MJG+HXMH,25.357886803088277
588M3JFR+99RX,13.49065362259277
588M3J5M+F88J,4.9793125
588M3P43+HHVC,3.6561096233586747
588M2MV9+MMQ9,7.091307582815736
588M2MMC+469X,21.939136151225295
588M3J5J+C246,5.231289144050107
588M3JFR+989P,15.386077880859375
588M2MFX+F7PX,7.191472271126761
588M3J9W+9P78,5.4249626764386525
588M3P45+9XV9,5.736546525559104
588M2M6X+MP6Q,35.37768398075553
588M3M66+XQFX,8.413298872180453
588M3M28+P6HF,12.43966653699862
588M3P26+8Q6P,7.33581057067425
588M3P25+8X8G,5.7675685200101725
588M2MP4+95HQ,8.751713267543861
588M2MX2+359R,5.641416063951274
588M2PX4+R72X,9.31613459232614
588M2MPR+57RX,1.4903094951923075
588M2JPV+R3WW,6.2693365695792895
588M2JRW+7V89,8.319020141770402
588M3J4F+W34Q,6.160053311373094
588M2MP5+7QCH,5.622959421641791
588M3J9Q+Q273,2.5793114505597017
588M2MV4+PHC4,6.8893674799465225
588M2PX4+7QFF,6.753407448765108
588M2PX5+2M87,3.9320114376285122
588M2M8W+34MV,6.368836419262556
588M3P26+4969,4.425656117329216
588M2JMX+3GQW,6.635401891252956
588M2MM6+GXGW,5.236937830687831
588M3J9W+324X,4.550710577713816
588M3J2J+MRXV,5.462098982785603
588M2MVH+375X,4.488233024691358
588M2PX5+H78J,6.314435111989459
588M3J5W+GR7W,1.7166910046728976
588M2P46+855R,4.255938163481954
588M2JMH+8J7R,8.156293116502894
588M2PW5+RPH6,6.607682342588974
588M2PX6+3RQ5,5.169789138349515
588M3P43+43C6,3.4144461971350615
588M2PX3+G4JG,2.11796875
588M2MMJ+Q98W,7.074429285862356
588M3J2H+M784,2.0656422970479706
588M2MV3+C2VJ,5.5364308421305175
588M3M86+Q8F9,6.484211839680589
588M2MR4+2R38,3.9162515470297037
588M3JCM+92QJ,4.685235852654057
588M3P22+3MVR,4.596498402312841
588M3P34+6HQW,7.7899643528005456
588M2JRH+P5GW,5.26171875
588M3M5X+M6X4,4.267890238879736
588M3P47+MCG9,5.747987597276265
588M2P46+3377,5.7223262524557965
588M2MRF+J93F,7.394505978512017
588M2PW3+PV6M,5.000291244277305
588M2MVC+QXH7,0.23505795924394568
588M3MF2+R379,4.780392815420561
588M3M2W+28HH,3.2794899043570664
588M2MJM+8M8P,26.988489156857728
588M2JQJ+XH56,5.63040285188008
588M2MW2+7MW2,5.503678969548669
588M2MM7+CP22,8.8767221499527
588M2JQF+R8QX,5.019252842151291
588M2PF2+JW4H,5.926491346860081
588M2MGX+WPC8,9.561068702290077
588M2JMF+JG8C,10.59825203414167
588M2MVP+954P,6.060871930138293
588M3J2M+R6QR,6.559592477469959
588M2MGP+G8M7,2.825922787544696
588M2MMG+5J88,6.98444253007826
588M2MP2+H5HQ,5.7977843915343925
588M3J4F+XW5H,5.317701198630138
588M3P45+9X4G,5.867503768303187
588M2MFW+XVFP,7.397476108953395
588M3P54+VW4J,5.359012927682739
588M3M39+W732,4.3056395825298885
588M2MXP+G53G,15.878348707467962
588M3J9V+9XPQ,5.616304234459744
588M3J3M+QGM4,2.634024091055341
588M3J6F+8423,5.495541067146283
588M2MW3+M3G6,5.216133887614679
588M3M3W+FC88,5.069434339759913
588M3J6R+JM2X,5.407276708006964
588M3P75+3RG2,3.359067334739803
588M2MX2+254R,6.0180874349266436
588M2MV4+VXP4,7.939708908970476
588M2P73+5XFW,8.52025417962675
588M2JQF+375Q,5.724339828753285
588M2MJM+MV98,8.149973665730338
588M2PW2+XMG4,3.1661814182194616
588M3P52+6FG3,5.631966248037677
588M2MQ6+48RP,4.476658432463546
588M2JRC+RC6J,4.179654535864979
588M2MP2+547J,7.1477227393617015
588M2MR2+XPX8,4.777410714285715
588M2P46+5GW3,4.121260159753364
588M2JVJ+V4PV,5.2889059995993595
588M3M74+R2C6,6.002628618935837
588M2MRR+25W7,4.618441946138211
588M3M3H+Q7RH,7.51199830754352
588M3M46+CM82,2.0959938294689597
588M2MP5+M5GV,7.641983207614942
588M3J6W+89QX,9.389430304982818
588M2MXW+CPCP,1.9752662556053813
588M3J4G+PWJF,7.169775533696107
588M3M7H+JJ33,9.302741651144226
588M3JCF+3PJ4,0.0
588M2PX5+XQ43,4.682044905703774
588M2MRM+4XMQ,5.53213984073359
588M3P47+PRG5,4.780677560366362
588M3P32+5C8P,4.232282587163234
588M2MQ8+VXRX,30.290346899571123
588M3M8W+MC34,3.4088299793601653
588M2MGJ+XH5G,3.6964153046062402
588M3J5P+VMRM,3.1443414612037706
588M2MPM+CW6P,22.144011047215496
588M2JPC+PF2F,0.25587751547987614
588M2MHX+587W,4.315751164596274
588M2MR7+RJ78,7.927429552023122
588M2MHQ+42PX,4.034563078703703
588M3M82+9VWP,8.081760452772963
588M2P56+5X3W,5.2228098665730345
588M2JQV+26RX,8.275434280855197
588M2PX2+78XQ,6.583169106606606
588M3J6Q+6H75,5.2668359375
588M2MJP+5M33,4.170109275053305
588M3J2J+5CM9,4.467093593489148
588M2JVX+2RF7,16.949206586049407
588M3M9F+5QM7,1.2983566810344829
588M2MFV+F53W,6.112200453367875
588M2JVF+6XR9,3.635518790849673
588M3M39+WVJ2,7.105309014869888
588M2MQH+93J2,5.499777843601896
588M3J2M+8C98,0.46618375809061496
588M3M5W+VH3F,3.9473642676767673
588M2P56+MVQ6,2.7837629923413565
588M2PV3+QGWQ,5.321109995274103
588M2MRP+RF38,1.9082934154501217
588M2MMV+4VP9,5.216416181144068
588M2MR4+M493,0.0
588M2PX3+M3JJ,6.5592578125
588M2MR9+2MC7,4.616173409479079
588M2MM8+9J4V,11.258182778038476
588M3M3V+6935,0.3713747626228775
588M3M57+R589,5.972884114583334
588M2JVH+FR98,5.483471513605442
588M2MGJ+V949,10.768202861952865
588M3M6G+RFW2,4.0536867977528095
588M2JVH+9H57,3.2672398239030023
588M2PX4+H3RG,5.735819884097708
588M3J7C+55C6,4.254872987927564
588M2JPH+FW2P,5.777095821579689
588M3J6X+2H22,9.534007884837967
588M2JWH+RJGW,4.628911376312336
588M3J9Q+V7RM,4.600958751931994
588M3J7G+6M7H,3.3081414473684205
588M3J9X+3332,5.102731228423476
588M3JCW+VJQ5,0.0
588M2JQM+29QR,1.9983457517793592
588M3J3F+P835,0.6427902621722845
588M3M74+X35G,4.336017731065469
588M2MMQ+2GFR,10.817020371280181
588M3J3G+CW7M,6.9128503303495314
588M2MHV+4V7W,6.664988938053096
588M2JPH+6GFJ,0.0
588M2JQJ+HMJ3,4.328476177647784
588M2MQF+GQ57,5.4069845085470085
588M3M55+G533,0.3114224137931034
588M3J4G+5GJX,6.989518342522732
588M3J8X+VX8R,6.451512247569185
588M2MX7+X2WM,5.348585559475807
588M2MX7+M288,6.0227272727272725
588M3P27+49XH,4.839512833793739
588M2JWF+P7WV,4.726674723756906
588M3P37+VJFG,5.420094430217668
588M3P86+8JP6,7.461755358923229
588M2MQ4+6J8P,0.8561454232283465
588M3M95+R4MF,4.351143260221467
588M2MPV+FC4V,7.913058894230769
588M3M4V+JHR8,5.828390185350603
588M3M2W+PWRJ,1.9477370689655171
588M2PX4+42CG,4.769511901485967
588M2MWH+FFF2,7.005514705882354
588M3J2C+C5WW,6.808793695380775
588M2MWC+3XPR,9.606051223450844
588M3P35+7WVW,3.4356017679057125
588M2MPP+CFHJ,10.288229380287106
588M3J8X+G6FW,1.9272153417818738
588M2MVC+Q69X,4.663370470351391
588M3M6J+8F9Q,5.109375000000001
588M2MM4+76HH,11.656828633438568
588M3M2X+JJV7,3.5159103049728047
588M2MHV+5M8F,6.975049640695915
588M3P35+83X7,4.801983762254903
588M3J6X+6PPH,10.570261085060876
588M2MFW+JF8M,10.963773885350319
588M2MQ7+8XG9,6.174003259015595
588M2MXJ+2WVV,6.9969207488738725
588M3P22+V2G4,4.582923709964412
588M2JJH+552P,4.772913547904191
588M2MW6+G5F7,4.206690588662791
588M3MMP+4JP6,0.0
588M3P47+936W,5.207852859778598
588M3M37+923H,12.131542271916413
588M3P26+37CH,7.569910829048842
588M2MM5+G5WW,11.664330357142857
588M2P94+4VJP,29.768344110345936
588M2MJP+FR7F,39.10947389240506
588M3M4W+F2CW,2.863602543290044
588M2MXW+JPJP,2.2678151150627617
588M2JMF+XHQ9,6.361496637217446
588M2JQR+4HJF,4.868710380348652
588M2MR5+5MM7,4.41186915106952
588M2PX5+JWJ8,7.123990221088436
588M2PG7+8RF6,4.7643076307363925
588M2JRG+HPCG,5.170021835733988
588M3P35+8WP6,6.304965957580322
588M3P43+3RV2,6.817805063842136
588M2MR6+RHJ3,6.953498948900389
588M2MQG+7R4J,3.3553086857018313
588M3M2X+HFFM,6.957309127146361
588M2MFM+4QG5,6.330587663666121
588M2M8R+WMG2,7.075365063525971
588M2MHR+PRCJ,6.767120737469186
588M2MR7+GCPH,5.115289587014136
588M2MV7+88VQ,9.919007371631928
588M3M63+48XG,7.425820427728615
588M2MQM+C4V6,9.443141382468996
588M2MVF+CXCF,5.135746842230696
588M3M2G+9729,6.160047524203309
588M2JXF+CG9M,4.42345562177835
588M3J2C+655X,5.71273614730227
588M2PX5+VRJC,4.662440476190476
588M3P67+Q58J,7.4665921925943195
588M3J4H+9QH3,5.809502368899275
